cycle,capacity,temperature,voltage
1,1.7059871630015877,8.272422519178683,3.4752664759657903
3,1.5408072519015947,6.279191330194547,4.193520837869666
5,1.5485911041185842,8.210715424489035,3.4765588189090355
6,1.5370447336411535,6.4143510033004505,4.187504197003788
7,1.5323691817528668,7.954455063989402,3.4707669643372343
8,1.5206921084928409,6.263927129839187,4.189655069774906
9,1.5116883765494797,7.985864710265717,3.4675514337042928
10,1.5029020889441034,6.251469678656883,4.191917514720392
11,1.4953066851911692,8.009426990342208,3.4628386272032645
12,1.4860258751499171,6.21497944169411,4.193113417930489
13,1.477100223478486,8.033626730077737,3.4591836330966035
15,1.4665555789867972,6.092666461165559,4.199479900529841
17,1.4741238330312678,8.150799939416203,3.440865649757287
19,1.472588279219582,6.187810206471489,4.1962997977090115
21,1.463199177067109,8.230899786348077,3.44810227661685
22,1.4578071722693713,6.425894472599308,4.194434606990872
23,1.44385228696324,8.146945225413083,3.4496654644975946
24,1.4360868821457355,6.331701988672408,4.195194011746863
25,1.428379295917906,8.251894856354932,3.4449123724079618
26,1.420626716577601,6.3539127187662245,4.1966368623707435
27,1.4131854577972789,8.23497518866995,3.4418308643708455
28,1.4059155702552428,6.299383558313136,4.198462571285532
29,1.40130106361853,8.269239827690175,3.4344681780842876
31,1.3882990084831794,6.119106088844921,4.201236264948579
33,1.4384536030712318,8.236583239584068,3.430115214310407
35,1.449445610298153,6.2442139643198535,4.2009472311598515
37,1.434442020395772,8.16126508624072,3.442078085056046
38,1.427553262345092,6.3266519915760115,4.197851110146361
39,1.4154667448300309,8.25301239256121,3.4424678812268277
40,1.4054489873759408,6.34182636437102,4.198680988504506
41,1.3991905050360445,8.291638340695691,3.4338551425476287
42,1.3905636897667675,6.363038788567033,4.199128153383965
43,1.3785103590925818,8.318107121376224,3.4327517306039357
44,1.3701439702327094,6.27526016076628,4.199490357046566
45,1.3617642485096562,8.303021352537922,3.4273855541261473
47,1.3493307839105586,6.07211429174397,4.204909593983731
49,1.3478602314719885,8.32601397527908,3.4184685184601045
50,1.345316659015959,6.207997563153254,4.200687492197155
51,0.6565463742727051,7.192903163731922,3.6507246573834036
52,0.7015672219061901,5.637368513245537,4.20790150879879
53,1.3722255886524335,8.388106987601862,3.4156755122328164
54,1.3232339911545126,6.134010914344963,4.201675684962224
55,1.3216699695305194,8.304841644444155,3.4189443106786306
56,1.3138510462594013,6.2541368729785685,4.201116653934024
57,1.3108375053290064,8.319029412369582,3.4147835574863517
59,1.2990514799590012,6.056088458175721,4.205978517025572
61,1.2969668673798493,8.401755924951388,3.409591730169167
62,1.2960798424110533,6.210243729854372,4.202742782656665
63,1.295256021939585,8.395347720509116,3.407645240350967
64,1.2877521702205952,6.182640696176797,4.201912739780461
65,1.2785353926401235,8.419292173692186,3.407201115194828
66,1.272117349010843,6.136272149551929,4.202580692565229
67,1.2670756773971141,8.293327119939335,3.402851724115477
68,1.2603899846208466,6.1415015288086625,4.203217812606892
69,1.2614490983031845,8.49190236531868,3.398740761774466
71,1.2500532330149923,5.997352917884704,4.206994473886876
73,1.2513667551922754,8.437149776270967,3.3945066004903923
74,1.2518066141989408,6.143440569877446,4.204168206769557
75,1.2508641422769138,8.429621946088576,3.39192930556013
76,1.2436042252039003,6.137450498889958,4.204667229142807
77,1.2409281163119592,8.46306110156025,3.39128980672992
78,1.234343649720435,6.169863059975235,4.204367360369479
79,1.2255975993855257,8.459204966688853,3.3932667889977304
80,1.220667420221629,6.186961067003751,4.204504370872263
81,1.2238754613262635,8.493224799915222,3.3838600818009588
83,1.2120564020967688,6.077535332475139,4.207446252928076
85,1.2952273379548547,8.466232868159803,3.3866520851320576
87,1.3111638232165532,6.214979525051872,4.206037628675572
89,1.3025594670792602,8.553128334903379,3.402095154295076
90,1.2969647827538338,6.254247905282491,4.203138999754099
91,1.280481059599899,8.342818484380935,3.404625504614091
92,1.2716757926909772,6.153767266905195,4.203170749305455
93,1.267319953353636,8.481468325698998,3.3977378433240313
94,1.2607528257343588,6.281815961969939,4.203630851563333
95,1.2508139507900347,8.425193812256257,3.39454078926717
96,1.244388119546802,6.263763451563647,4.203986330280333
97,1.233949742461776,8.471726206300676,3.397135252361952
99,1.2235959222832424,6.161638305944064,4.207435158926691
101,1.228364715698453,8.510483818712029,3.384557786350807
102,1.2274791471021538,6.232245784277484,4.204698328773422
103,1.2274575928114382,8.530222967717657,3.38207924956575
104,1.2193070616844564,6.173880396365787,4.204367303680974
105,1.2093395504180997,8.420605358837513,3.3808097620789024
106,1.2033435428659838,6.197936764800582,4.204275467629636
107,1.1998797930466283,8.51215713252602,3.382026759648077
108,1.1945593894005346,6.177861019167903,4.204794193389337
109,1.1939537744738866,8.54602737861718,3.376424700878435
111,1.1830695169161864,6.052272625093543,4.207763160123214
113,1.187249863227906,8.4485741292899,3.3729563491800936
114,1.1886366335000724,6.1797729359692415,4.204663022683801
115,1.1780943421265524,8.334392904335672,3.378642488252421
116,1.1734471453512438,6.103318574823602,4.204118743898251
117,1.1804250960237288,8.548983420432004,3.370172138170829
118,1.1749176934059569,6.162003682485233,4.20472704038015
119,1.1747570738413975,8.545644001542279,3.367920943746027
120,1.1676925188499228,6.139935537789659,4.204572560055919
121,1.1632730150812798,8.530684068571667,3.3731133787458676
123,1.15365611670345,5.958012668187539,4.20767761396186
125,1.1708330477613789,8.5880890540764,3.3570684734893477
126,1.170814818408198,6.1876868228180575,4.204815660377147
127,1.1557726857353572,8.520717953543993,3.3691516897861753
128,1.1522764852871226,6.165450652648644,4.205053049520213
129,1.1589838931167131,8.509426489984776,3.3578225461504885
130,1.1525083571603798,6.181352215855617,4.205041577039904
131,1.1408916720200937,8.454153696786289,3.3676285575809373
132,1.1382315995684058,6.131611601924141,4.20561473310598
133,0.9870450895870234,8.047459499367323,3.449492446913663
135,1.0053139838853073,5.951243456342401,4.209217970592571
137,1.2340039064137323,8.476574571858773,3.372493003925355
139,1.2278566197595915,6.161768674885032,4.207338855887127
141,1.2362693551451083,8.567006275916873,3.382136756328252
142,1.229771924287402,6.300888286646537,4.203981854664121
143,1.2258152686239623,8.607327084258758,3.383822718764627
144,1.2172079376899516,6.34246249083163,4.203712316563817
145,1.2074370816286795,8.707959029152644,3.3860339727551585
146,1.2020475800751762,6.519920784198943,4.203623701422697
147,1.2021845409763252,9.003534328496398,3.3841395923852935
148,1.1966313094655792,6.685385595686235,4.203644585648088
149,1.1910379807660205,9.02852617906244,3.3827771801616184
151,1.1786943395889524,6.471483297343151,4.207715020355373
153,1.1978753010784653,9.027729535660669,3.364536091766799
155,1.2029770558648456,6.459661963696386,4.207768529758282
157,1.2046624746742698,9.071608131387514,3.3787603150369994
158,1.2007199090821883,6.611256213114639,4.204115626382852
159,1.1943096322460438,9.050284055951,3.38042492580436
160,1.1870145065898516,6.617375950755113,4.203607285270917
161,1.1836236570593544,8.986064263951343,3.3757552328187086
162,1.1774407040441666,6.638917985005954,4.203686496982892
163,1.174032252781531,9.036875447987502,3.3744651760728988
164,1.1681932022408708,6.620432456425521,4.204300191671364
165,0.5474966360832247,7.698431744424151,3.6287077311529012
167,0.591353508891969,5.945219860663831,4.2101371527025035
169,1.2612743846671077,9.095394308322597,3.3850807989789566
171,1.2288974799534884,6.477533347727088,4.207273394827042
173,1.238912561847798,9.009063913586548,3.3900890450634233
174,1.2308497523266886,6.7018805629691025,4.2030107758477655
175,1.225579346448047,8.958051495293551,3.3919885847746993
176,1.2152467722809157,6.672631498720137,4.2030576073039265
177,1.2133062708510245,8.972563208541265,3.3862399608298266
178,1.2045205299453843,6.67664074597477,4.203420431681314
179,1.198627346477376,9.037146843138395,3.383817098626054
180,1.1924678552551913,6.677614025426833,4.203391763081669
181,1.1885225603244787,9.009035929017505,3.3818846696550433
183,1.1764452414166244,6.457979061768442,4.208013207373918
185,1.2125901277994204,9.485217152757082,3.3507147228969534
187,1.0637504522397678,6.398133337813654,4.203886571543985
189,1.0737611233936268,9.412485833762908,3.343710562419324
190,1.0431090701228662,6.346660652666447,4.203853461446381
191,1.0312686215044753,9.14441346005273,3.357113032625278
192,1.0097913912270022,6.18467402193531,4.204144484538879
193,1.0009604894566217,9.074180330499932,3.358646172572514
194,0.9850431801279116,6.199398112128066,4.2041587157914035
195,0.9765044025340822,9.063698357219925,3.3660643885240518
196,0.9638084946899584,6.132889757838919,4.204205107065187
197,0.956806420585705,9.076577071060372,3.367910347978234
199,0.943306304256314,6.240752508687593,4.204292333148597
201,0.9336665964030942,9.265023738219778,3.357745333360116
203,0.9490119381576018,6.354277877807074,4.204313058005607
205,0.9514802225863426,9.339350112299787,3.3696607473704705
206,0.9391580082356716,6.463270866400196,4.204112073296201
207,0.9347811921457373,9.308634523153344,3.3747312015520436
208,0.9219417569195232,6.362041799290184,4.204328546969723
209,0.9179244772558645,9.254145206672922,3.381799182114607
210,0.9097575693036788,6.402988789679018,4.2042144341789855
211,0.9045576281785476,9.291749311540086,3.385176591409285
212,0.8973735165874991,6.3441469127079735,4.204420736986507
213,0.899440287176072,9.310447961834724,3.3813096388474886
215,0.885945197935597,6.292733673663424,4.2045206858764
217,0.9170735957479589,9.29775486780575,3.3490369985986668
219,0.9463622960539129,6.367852147221763,4.204285856372997
221,0.9375958824024675,9.245632947295453,3.3694542187312684
222,0.9227810016051512,6.358666739311777,4.204215776991832
223,0.9175546301506861,9.21860683892004,3.3771129586319466
224,0.903892174404933,6.3346393244099675,4.204272305765484
225,0.8966246225968553,9.19413015419709,3.382104218416538
226,0.8879615880246547,6.342789977695119,4.204427659346129
227,0.8823764652593541,9.188267060937262,3.3859954600090036
228,0.8752892414977522,6.32005326934741,4.204439701032193
229,0.8748812618171455,9.211910760834266,3.3830345538672018
231,0.8620329850580799,6.187144352852324,4.2046404516840505
233,0.8622492986076329,9.15685740939557,3.37881379914347
234,0.8623429728068304,6.229111278750745,4.204306391610057
235,0.6633815996918189,8.865755104549711,3.406714657706338
236,0.700510296759946,6.188388256154581,4.203208240265893
237,0.8676712902847321,9.104538013834128,3.389059266953008
238,0.8341856262218161,6.164860033220079,4.204528273115767
239,0.8542216000398184,9.196243634400288,3.3783919657677504
240,0.8438851774171863,6.342501812627873,4.204437869181628
241,0.8460987034015989,9.224293881462565,3.3779346242690624
243,0.8323029095428425,6.178631590788171,4.204749519541358
245,0.8391333650474283,9.239291915944644,3.3727225247575885
246,0.8385876128906646,6.253433163781065,4.204470178391704
247,0.8365368002832876,9.220514425854448,3.380735960428841
248,0.8303120871917229,6.201558196698034,4.204547221816966
249,0.8262300765092813,9.140591023627803,3.3889133424072204
250,0.8225620830142176,6.159549767698794,4.204482079423188
251,0.8210743954406718,9.05273466167465,3.3855430731736647
252,0.8171891246252155,6.175751461019948,4.204536192184617
253,0.8224171919811913,9.311519157220646,3.375688256474184
255,0.810732587637622,6.150165030743579,4.204662237827012
257,0.8113059391686147,9.167853966731156,3.37794278508875
258,0.8144662859117862,6.165637375839539,4.204541613463353
259,0.8180726132804615,9.287848514483294,3.373558298075209
260,0.8107133353067294,6.151355818077522,4.204611183656746
261,0.81551800808158,9.322184761530549,3.368742642573582
262,0.8093843856569057,6.20923971426029,4.204487404696081
263,0.8099393789890021,9.289681276195049,3.3718000664169727
264,0.806646006422667,6.23403413207951,4.204633395070441
265,0.8079076793859584,9.365909184464234,3.366360304166582
267,0.7970659052453813,6.213701327289025,4.204662331813105
269,0.8193061474669221,9.328022708662925,3.342277843498783
271,0.8591382163342696,6.297173756353018,4.204630639019974
273,0.8500857089838377,9.373114023056761,3.3722684174392836
274,0.8392584827563704,6.210264912614041,4.204480818729711
275,0.8469871418977339,9.306835708093752,3.357634548884028
276,0.8319640669796319,6.11948304049798,4.204493989058999
277,0.8250786046873877,9.339526786032339,3.3697954619483568
278,0.8175950987192134,6.226190572340675,4.2045872438019245
279,0.8119229748518614,9.1327535688995,3.3766733742445987
280,0.8067237790953481,6.195437074031994,4.204568990556822
281,0.8172240608773187,9.343849839453913,3.356692310359256
283,0.8027415353810787,6.2004663293612206,4.204771553930355
285,0.7945982343482518,9.257582649630315,3.3716599583869122
286,0.7972835319059774,6.15087524658299,4.20462042142818
287,0.8047704735543943,9.38425161776499,3.358461612325261
288,0.78506310996999,6.104025259900988,4.201635767569399
289,0.7737237385517197,9.144982402264807,3.3733153872943236
290,0.7857625346690131,6.137825478877029,4.204538983003419
291,0.7876114202349408,9.26257479341655,3.367632771675607
292,0.7821955833109289,6.154087888499866,4.204586432477976
293,0.7848702565699015,9.40011028670591,3.363321307304569
295,0.7737933070056391,6.1713857085526085,4.2047535506081735
297,0.7856767871416449,9.419332811255556,3.346491714827562
298,0.7851534735601885,6.1968927525542465,4.204569975917066
299,0.7793373300848707,9.207828068558017,3.3599039237162853
300,0.7754658408458887,6.116803396036895,4.204598355879701
301,0.7809226562851415,9.478974220669317,3.349639562276425
302,0.7747787523956452,6.149496265425039,4.204755181602298
303,0.774493917762868,9.37536325812961,3.352423027875088
304,0.7690848671954595,6.134862768661879,4.204619521223266
305,0.7679404802199027,9.348977069227304,3.3563090390508155
307,0.7582647140493575,6.077735856346787,4.204749611179585
309,0.7691124257978942,9.539830147989116,3.340602870094091
310,0.7692798869572897,6.158340320892469,4.204619551097425
311,0.7702147357278941,9.436879605277216,3.348511229053965
312,0.7654842489547625,6.149313419281584,4.204622286707645
313,0.772319442532209,9.4879310296259,3.3328844784891074
314,0.7648212895352443,6.1046390900662715,4.204694966570788
315,0.7573839146425614,9.300314416191522,3.3518219079975298
316,0.7550450057379556,6.104294763321776,4.204733588265911
317,0.7581594269703221,10.076022301978172,3.268327350028982
319,0.7490196568893872,6.124559526967275,4.204642356391611
